,n,a,e,completeness,spread
182,3.0,0.8999999999999999,0.6000000000000001,0.43,0.2
183,4.0,0.8999999999999999,0.6000000000000001,0.442,0.2
184,5.0,0.8999999999999999,0.6000000000000001,0.449,0.2
185,1.0,0.8999999999999999,0.7000000000000001,0.301,0.2
186,2.0,0.8999999999999999,0.7000000000000001,0.353,0.2
187,3.0,0.8999999999999999,0.7000000000000001,0.384,0.2
188,4.0,0.8999999999999999,0.7000000000000001,0.402,0.2
189,5.0,0.8999999999999999,0.7000000000000001,0.421,0.2
190,1.0,0.8999999999999999,0.8,0.223,0.2
191,2.0,0.8999999999999999,0.8,0.285,0.2
192,3.0,0.8999999999999999,0.8,0.311,0.2
193,4.0,0.8999999999999999,0.8,0.331,0.2
194,5.0,0.8999999999999999,0.8,0.366,0.2
195,1.0,0.8999999999999999,0.9,0.108,0.2
196,2.0,0.8999999999999999,0.9,0.178,0.2
197,3.0,0.8999999999999999,0.9,0.217,0.2
198,4.0,0.8999999999999999,0.9,0.244,0.2
199,5.0,0.8999999999999999,0.9,0.297,0.2
200,1.0,0.9999999999999999,0.0,0.468,0.2
201,2.0,0.9999999999999999,0.0,0.491,0.2
202,3.0,0.9999999999999999,0.0,0.518,0.2
203,4.0,0.9999999999999999,0.0,0.524,0.2
204,5.0,0.9999999999999999,0.0,0.532,0.2
205,1.0,0.9999999999999999,0.1,0.461,0.2
206,2.0,0.9999999999999999,0.1,0.494,0.2
207,3.0,0.9999999999999999,0.1,0.51,0.2
208,4.0,0.9999999999999999,0.1,0.521,0.2
209,5.0,0.9999999999999999,0.1,0.528,0.2
210,1.0,0.9999999999999999,0.2,0.441,0.2
211,2.0,0.9999999999999999,0.2,0.474,0.2
212,3.0,0.9999999999999999,0.2,0.494,0.2
213,4.0,0.9999999999999999,0.2,0.517,0.2
214,5.0,0.9999999999999999,0.2,0.519,0.2
215,1.0,0.9999999999999999,0.30000000000000004,0.425,0.2
216,2.0,0.9999999999999999,0.30000000000000004,0.457,0.2
217,3.0,0.9999999999999999,0.30000000000000004,0.488,0.2
218,4.0,0.9999999999999999,0.30000000000000004,0.506,0.2
219,5.0,0.9999999999999999,0.30000000000000004,0.502,0.2
220,1.0,0.9999999999999999,0.4,0.417,0.2
221,2.0,0.9999999999999999,0.4,0.446,0.2
222,3.0,0.9999999999999999,0.4,0.469,0.2
223,4.0,0.9999999999999999,0.4,0.482,0.2
224,5.0,0.9999999999999999,0.4,0.492,0.2
225,1.0,0.9999999999999999,0.5,0.393,0.2
226,2.0,0.9999999999999999,0.5,0.434,0.2
227,3.0,0.9999999999999999,0.5,0.44,0.2
228,4.0,0.9999999999999999,0.5,0.443,0.2
229,5.0,0.9999999999999999,0.5,0.46,0.2
230,1.0,0.9999999999999999,0.6000000000000001,0.343,0.2
231,2.0,0.9999999999999999,0.6000000000000001,0.393,0.2
232,3.0,0.9999999999999999,0.6000000000000001,0.417,0.2
233,4.0,0.9999999999999999,0.6000000000000001,0.423,0.2
234,5.0,0.9999999999999999,0.6000000000000001,0.428,0.2
235,1.0,0.9999999999999999,0.7000000000000001,0.279,0.2
236,2.0,0.9999999999999999,0.7000000000000001,0.344,0.2
237,3.0,0.9999999999999999,0.7000000000000001,0.375,0.2
238,4.0,0.9999999999999999,0.7000000000000001,0.385,0.2
239,5.0,0.9999999999999999,0.7000000000000001,0.383,0.2
240,1.0,0.9999999999999999,0.8,0.218,0.2
241,2.0,0.9999999999999999,0.8,0.278,0.2
242,3.0,0.9999999999999999,0.8,0.308,0.2
243,4.0,0.9999999999999999,0.8,0.338,0.2
244,5.0,0.9999999999999999,0.8,0.355,0.2
245,1.0,0.9999999999999999,0.9,0.105,0.2
246,2.0,0.9999999999999999,0.9,0.179,0.2
247,3.0,0.9999999999999999,0.9,0.213,0.2
248,4.0,0.9999999999999999,0.9,0.233,0.2
249,5.0,0.9999999999999999,0.9,0.295,0.2
250,1.0,1.0999999999999999,0.0,0.45,0.2
251,2.0,1.0999999999999999,0.0,0.494,0.2
252,3.0,1.0999999999999999,0.0,0.496,0.2
253,4.0,1.0999999999999999,0.0,0.502,0.2
254,5.0,1.0999999999999999,0.0,0.526,0.2
255,1.0,1.0999999999999999,0.1,0.459,0.2
256,2.0,1.0999999999999999,0.1,0.487,0.2
257,3.0,1.0999999999999999,0.1,0.492,0.2
258,4.0,1.0999999999999999,0.1,0.502,0.2
259,5.0,1.0999999999999999,0.1,0.512,0.2
260,1.0,1.0999999999999999,0.2,0.448,0.2
261,2.0,1.0999999999999999,0.2,0.471,0.2
262,3.0,1.0999999999999999,0.2,0.481,0.2
263,4.0,1.0999999999999999,0.2,0.487,0.2
264,5.0,1.0999999999999999,0.2,0.489,0.2
265,1.0,1.0999999999999999,0.30000000000000004,0.439,0.2
266,2.0,1.0999999999999999,0.30000000000000004,0.456,0.2
267,3.0,1.0999999999999999,0.30000000000000004,0.469,0.2
268,4.0,1.0999999999999999,0.30000000000000004,0.472,0.2
269,5.0,1.0999999999999999,0.30000000000000004,0.481,0.2
270,1.0,1.0999999999999999,0.4,0.419,0.2
