,n,a,e,completeness,spread
258,9.0,0.7999999999999999,0.0,0.713,0.3
259,10.0,0.7999999999999999,0.0,0.714,0.3
260,1.0,0.7999999999999999,0.0,0.521,0.35000000000000003
261,2.0,0.7999999999999999,0.0,0.609,0.35000000000000003
262,3.0,0.7999999999999999,0.0,0.65,0.35000000000000003
263,4.0,0.7999999999999999,0.0,0.666,0.35000000000000003
264,5.0,0.7999999999999999,0.0,0.689,0.35000000000000003
265,6.0,0.7999999999999999,0.0,0.701,0.35000000000000003
266,7.0,0.7999999999999999,0.0,0.702,0.35000000000000003
267,8.0,0.7999999999999999,0.0,0.706,0.35000000000000003
268,9.0,0.7999999999999999,0.0,0.715,0.35000000000000003
269,10.0,0.7999999999999999,0.0,0.715,0.35000000000000003
270,1.0,0.7999999999999999,0.0,0.511,0.4
271,2.0,0.7999999999999999,0.0,0.61,0.4
272,3.0,0.7999999999999999,0.0,0.646,0.4
273,4.0,0.7999999999999999,0.0,0.663,0.4
274,5.0,0.7999999999999999,0.0,0.696,0.4
275,6.0,0.7999999999999999,0.0,0.7,0.4
276,7.0,0.7999999999999999,0.0,0.705,0.4
277,8.0,0.7999999999999999,0.0,0.709,0.4
278,9.0,0.7999999999999999,0.0,0.714,0.4
279,10.0,0.7999999999999999,0.0,0.716,0.4
280,1.0,0.7999999999999999,0.0,0.521,0.45
281,2.0,0.7999999999999999,0.0,0.609,0.45
282,3.0,0.7999999999999999,0.0,0.648,0.45
283,4.0,0.7999999999999999,0.0,0.672,0.45
284,5.0,0.7999999999999999,0.0,0.693,0.45
285,6.0,0.7999999999999999,0.0,0.694,0.45
286,7.0,0.7999999999999999,0.0,0.709,0.45
287,8.0,0.7999999999999999,0.0,0.712,0.45
288,9.0,0.7999999999999999,0.0,0.71,0.45
289,10.0,0.7999999999999999,0.0,0.709,0.45
290,1.0,0.7999999999999999,0.0,0.516,0.5
291,2.0,0.7999999999999999,0.0,0.607,0.5
292,3.0,0.7999999999999999,0.0,0.652,0.5
293,4.0,0.7999999999999999,0.0,0.672,0.5
294,5.0,0.7999999999999999,0.0,0.688,0.5
295,6.0,0.7999999999999999,0.0,0.697,0.5
296,7.0,0.7999999999999999,0.0,0.707,0.5
297,8.0,0.7999999999999999,0.0,0.71,0.5
298,9.0,0.7999999999999999,0.0,0.71,0.5
