a,albedo,arg_peri,diameter,e,H,i,anomaly,name,long_node,t_impact,d_impact
1.465241069,0.14,217.3415717,32.54325304,0.352771372,25.19,39.48359125,219.350826,34317,20.44550448,7039.867852,4/11/2019
1.458453457,0.14,111.8959129,23.0388588,0.696938064,25.94,23.43368666,138.5434117,34903,319.2173021,7163.474643,8/12/2019
1.907301301,0.14,235.0470614,47.47456161,0.551656473,24.37,10.83675104,253.2876058,35381,43.42392192,7063.408139,5/4/2019
2.498348725,0.14,125.2018529,70.54414321,0.664361834,23.51,24.42237085,9.210361866,35388,158.9898561,6818.738505,9/2/2018
1.636548766,0.14,34.62332726,27.82665241,0.422266253,25.53,39.78696636,248.7739496,35980,186.9362565,7026.167388,3/28/2019
1.005649504,0.14,125.2640748,30.65215148,0.596172932,25.32,50.97743591,229.1082965,36525,55.79417055,6896.455559,11/18/2018
2.339720297,0.14,58.88402581,24.12464677,0.655814434,25.84,36.39389287,293.8694832,36942,180.010289,7019.18008,3/21/2019
1.639063764,0.14,285.7461441,27.82665241,0.556282054,25.53,11.0856413,325.8451673,37914,97.23240581,6937.263984,12/29/2018
2.509723109,0.14,68.84771347,29.40769349,0.711669686,25.41,10.26857381,311.3231072,38010,133.960684,6973.344927,2/3/2019
1.892505103,0.14,316.2017155,25.03000654,0.52407083,25.76,30.98293967,296.2682422,38075,180.1334228,7019.300648,3/21/2019
2.778344813,0.14,44.89949226,54.25764792,0.678662779,24.08,21.56615809,297.1795399,38977,240.2315164,7080.84239,5/22/2019
1.901161483,0.14,142.6152205,22.41098594,0.508296516,26,4.368424351,284.3690567,39121,28.85418667,7048.389759,4/19/2019
2.647176749,0.14,146.7069787,24.23600108,0.652577202,25.83,36.86091908,335.2833213,39326,290.4622331,6950.25687,1/11/2019
2.058109805,0.14,291.7144883,31.51091129,0.815724835,25.26,34.34311791,292.4384662,39404,318.0534501,6977.398207,2/7/2019
